"Dragon Word","Word Type","Canon Level",Definition,Notes
"a / -ha",suffix,Semi-Canon,"contraction of ""wah,"" or to-infinitive","This can be used as, but is not limited to, the infinitive form of a verb. For instance, ""bok (age)"" --> ""boka (to age)"". ""-ha"" is used when a word ends with a vowel. Also as a contraction with ""wah,"" ""boha"" ""fly to."""
aal,suffix,Non-Canon,"Forms an adjective (see notes)","Meaning ""with"" or ""having"" something. ""Sulvekaal"" (comfortable) literally means something ""with comfort"" or that ""has comfort""."
"aan / -laan",suffix,Semi-Canon,"Present perfect suffix, see notes.","Used to form present perfect tense and past participles. ""Zu'u krifaan,"" ""I have fought."" ""Zu'u mindokaan,"" ""I have known."" ""Viikaan paal,"" ""a defeated foe."" When a word ends with ""ah,"" becomes ""Mahlaan"" or ""Grahlaan."""
aar,suffix,Semi-Canon,"ness, forms a noun from an adjective","From ""Krasaar,"" ""sickness."" See also ""-om,"" an equivalent suffix."
aat,suffix,Non-Canon,"Creates an noun from a verb, see notes.","Creates a noun from a verb meaning ""one or that which is [verb]. A defendee (bildaat) is one who is defended (bildaan) or subject to defend (bild), a burden (Brudaat) is that which is carried or bared. Edited from ""-aht."""
"dein / -ein",suffix,Non-Canon,"Engl. ""-ship""","Equivalent to the English ""-ship"" that transforms a noun or verb into a noun of higher meaning.  ""Dein"" is used if the letter ""D"" is absent from the last syllable of the word, ""-ein"" if it contains a ""D""."
eil,suffix,Semi-Canon,"indicates possession, see notes","Indicates plural ""your/yours."""
"en / -ren",suffix,Non-Canon,"To denote origin, see notes.","To turn a word into an origin, to describe where something came from, or its type.

-en for non vowel ending words, and -ren for words that end in vowel sounds.

E.g. Bron -> Bronen (Nord -> Nordic)

Dovah -> Dovahren (Dragon -> Draconic)"
eyd/-meyd,suffix,Non-Canon,"oid, like or resembling","Referred to ""Med"" (""Like, Similar to""). Used to form an adjective as well as noun. It is equivalent to ""-oid"" or ""-morph/-morphic"". For example, ""Muneyd"" is ""Humanoid, Antropomorph(ic)"".  ""-meyd"" is used for words that end in vowels."
hus,suffix,Semi-Canon,"forms a noun, see notes","Forms a noun meaning ""characteristic of,"" equivalent to English ""-ery."" See ""Inhus,"" ""mastery,"" and ""Zaamhus,"" ""slavery."""
"iik/ -d",suffix,Semi-Canon,"""-er"" (see notes)","Forms a noun from verbs or adjectives, as in ""Wanderer"" from ""Wander"", ""Wunduniik"".  If the word ends in a vowel, the suffix is ""-d"", as in ""Kriid"".  It can also be used to make nouns out of adjectives: ""Zuruniik"", ""stranger"", ""Goraaniik"", ""youngster"", meaning ""someone who is strange"", ""someone who is young"", etc."
"iin / -liin",suffix,Non-Canon,"Future tense suffix","Implies ""will"", E.g. Battle = Grah
He will battle dragons.
Rok grahliin dovahhe."
kei,suffix,Semi-Canon,"ous/ -ious","Meaning ""possessing of"" or ""full of"", modifies a noun to an adjective.  An example is ""Morokei"" (""glorious""), based on ""Moro"" (""glory"")."
maar,suffix,Semi-Canon,"forms nouns, see notes","Used in ""Geinmaar"" and ""Nimaar"" to refer to the reflexive self. Used in ""Briinahmaar"" to form the word ""sisterhood."" Used in ""Deinmaar"" to form ""keeper."""
"nd / -end / -ak",suffix,Non-Canon,"""-tion"", used turn a verb into a noun","Like -tion or -ment in English.

E.g. Imagine -> Imagination

""-end"" is used in cases where ""-nd"" doesn't.  If the word ends with a ""d"", ""-ak"" is used instead.

Indicates state  or condition."
ni,suffix,Semi-Canon,Not,"Used to turn certain verbs into negative forms, i.e. an English example would be ""Isn't"", ""Can't"", ""Won't"". Very rarely used."
niir,suffix,Non-Canon,"turns verbs into nouns, see notes","This suffix makes nouns from verbs with the meaning of ""something one ___ with"", ex. ""Pelniir"", the word for ""pen"" or ""quill"", means ""something one writes with""."
nu,suffix,Semi-Canon,less,"""Faasnu"" = ""fearless"", ""Laasnu"" = ""lifeless"", etc.  Means ""without or absence of""."
"om / -rom",suffix,Semi-Canon,ness,"Turns an adjective into a noun, ""Vulom"" = ""Darkness"".  Edited to ""-om"" from ""-ah""/""-rah"" to match canon words."
orun,suffix,Non-Canon,"changes a verb to noun, see notes","Makes a noun meaning ""place where one ___"".  ""Pelorun"", ""Scriptorium"", ""a place where one writes""."
taas,suffix,Semi-Canon,"present participle suffix, see notes","Derived from ""Viintaas"", ""shining"". Used to make present participles such as ""viintaas tuz"", ""a shining blade"". Replaces the old suffix -von."
tiv,suffix,Semi-Canon,"ward, toward(s)","""Amativ,"" ""onward."" ""Kotiv,"" ""inward."""
u'u,suffix,Semi-Canon,"indicates possession, see notes","Indicates ""their."" May be pronounced with a slight pause."
"un / -lun",suffix,Non-Canon,"ism, see notes","Forms a condition noun from a verb, ""Hunun"" = ""Heroism"", ""Nekovun"" = ""Cannibalism"".  ""-un"" is used unless the verb ends in a vowel, in which case ""-lun"" is used instead."
us,suffix,Semi-Canon,"""-y"", modifies a noun into an adjective.","Seen in the English ""snowy"", ""slippery"", and the Dragon ""Odus"" and ""Motmahus"".  Means ""having the qualities of""."
"uv / -nuv",suffix,Non-Canon,"Forms an adjective from a noun.","Means ""of, like, or pertaining to"" something, ""Zooruv"" - ""Legendary"", ""of/pertaining to legend"".  ""-nuv"" if the noun ends in a vowel. Edited from ""-iil / -riil"" to avoid conflict with canon possessive suffix."
vu,suffix,Semi-Canon,less,"To be used with words that end with ""n""."
Aad,verb,Non-Canon,Invade,
Aadak,noun,Non-Canon,Invasion,"""Aad"" with the suffix ""-ak"".
"
Aadiik,noun,Non-Canon,Invader,"""Aad"" with the suffix ""-iik"", forms equivalent to ""-er""."
Aafurid,noun,Non-Canon,"Product, Production","From Icelandic."
Aafuriik,noun,Non-Canon,Producer,"""Aafurid"" with suffix ""-iik""."
Aagis,verb,Non-Canon,Erase,
Aak,verb,Canon,"Guide / Guidance","Expanded definition to include ""guidance."""
Aakfus,noun,Semi-Canon,Sneeze,"A compound of ""Aak"" and ""Fus"", ""guided force"".  Co-authored by Numinex."
Aakit,verb,Semi-Canon,Escort,"From ""Aak"", ""guide"". Noun and a verb. Edited from ""Aaktir."""
Aakitveysun,noun,Non-Canon,Frigate,"Lit ""escort ship""."
Aakoraak,noun,Semi-Canon,"Cane, Walking Stick","Derived from ""Aak"" and ""Oraak,"" ""walking-stick."""
Aakrot,verb,Semi-Canon,"Persuade, Convince","Edited from ""Koniiyek."" Lit. ""guiding word."""
Aaksu,verb,Semi-Canon,Cough,"Derived from ""Aak"" and ""Su"", ""guided air"" (on the analogy of ""Aakfus"" - ""Sneeze"")."
Aal,verb,Canon,May,
Aalkos,adverb,Semi-Canon,"Maybe / Perhaps / Arguably","Literally translated."
Aalzon,noun,Non-Canon,Elephant,"Edited from ""Ahlzon."""
Aam,verb,Canon,Serve,
Aan,adjective,Canon,A/An,"The articles ""a""/""an"" and ""the"" are rarely used in the Dragon Language."
Aand,noun,Non-Canon,Duck,
Aandserk,noun,Modern,Platypus,"From ""Aand"" and ""Serk,"" ""duckrat."""
Aank,noun,Non-Canon,"Anxiety, Stress, Unease",
Aankei,adjective,Non-Canon,Anxious,"""Aank"" with the suffix ""-kei""."
Aanvorey-Honaat,noun,Modern,Allophone,"From Greek roots ""allos"" (other) + ""phone"" (sound), from ""Aanvorey"" and ""Honaat."""
Aanwo,pronoun,Semi-Canon,"Someone, Somebody","Derived from ""Aan"" and ""Wo."" Edited from ""Anahlrii."""
Aar,noun,Canon,"Servant / Slave",
Aargron,noun,Semi-Canon,Bondage,"A compound of ""Aar"" and ""Gron"", ""slave-bind""."
Aariik,noun,Semi-Canon,Slaver,"""Aar"" with the suffix ""-iik""."
Aarzul,noun,Semi-Canon,"Vassal, Liegeman
	
","Edited from ""Ahrsun."" Means ""servant voice."""
Aas,adjective,Non-Canon,"Agile, Dexterous, Acute",
Aaskraan,noun,Modern,Email,"Derived from Aas, ""Quick,"" and Deykraan, ""Parchment."""
Aathrok,verb,Non-Canon,Emboss,
Aav,verb,Canon,Join,
Aaverin,noun,Modern,"Chemical, Compound","Compound of ""Aav"" and ""Verin,"" ""joined elements."""
Aaverin-Mindaas,noun,Modern,Chemistry,"A compound of Aaverin(Chemical) and Mindaas(Science)."
Aaveriniik,noun,Modern,"Chemist, a person who studies chemistry","Derived from ""Aaverin"", with the prefix ""-iik""."
Aaverinuv,adjective,Modern,"Synthetic, Chemical","""Aaverin"" with the suffix ""-uv."""
